emri_mbiemri,nr_vezhguesi,komuna,emri_qv,nr_qv,nr_vv,pyetja_1,pyetja_4,pyetja_5,pyetja_3,pyetja_2,pyetja_6,pyetja_femra,pyetja_8,pyetja_9,pyetja_10,pyetja_11,pyetja_12,pyetja_13,pyetja_14,pyetja_15,pyetja_17,pyetja_18,pyetja_19,pyetja_20,10_21,12_21,16_21,19_21,pyetja_22,pyetja_23,pyetja_24,pyetja_25,pyetja_26,pyetja_27,pyetja_28,pyetja_29,pyetja_30,pyetja_31,pyetja_32,pyetja_33,pyetja_34,pyetja_35,pyetja_36,pyetja_36a,pyetja_37,pyetja_38,pyetja_39,pyetja_40,pyetjaj_41,pyetja_42,pyetja_43,pyetja_44,pyetja_45,pyetja_46,pyetja_47,pyetja_48,pyetja_49,pyetja_50,pyetja_51,pyetja_52,pyetja_53,pyetja_54,pyetja_55,pyetjaj_56,pyetja_57,pyetja_58,pyetja_59,pytja_kusht1,pytja_kusht2,pytja_kusht3,pytja_60,pytja_61,pytja_62
,50518,Podujevë,Shkolla e Mesme 'Fan S. Noli',1801e,01R,0,1,06:00,06:30,0,7,1,0,0,3,1,1,1,1,7,1,1,1,1,0,0,307,0,0,0,0,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,438,0,0,0,0,438,24,1,1,1,1,0,0,0,0,0,,,0
,505/1142,Mamush,Shkolla Fillore 'Haxhi Ymer Lytfi',3201a,04D,1,1,06:00,06:01,1,7,0,900,870,2,1,1,1,1,7,1,1,1,1,150,210,370,405,0,33,18,1,2,2,2,2,2,2,1,2,2,0,0,0,2,07:05,2,0,1,2,1,1,0,1,405,1,1,1,1,405,7,1,1,1,1,4,2,33,33,0,,,0
,848,Mamush,Shkolla Fillore 'Haxhi Ymer Lytfi',3201a,02R,1,1,06:00,06:01,1,7,1,800,922,2,1,1,1,1,7,2,1,1,1,105,206,385,476,0,0,9,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:13,2,0,1,2,1,1,1,1,476,1,1,1,1,476,15,1,1,1,1,4,2,0,0,0,,,0
,,Podujevë,Shkolla Fillore 'Sheqë Mirovci' ,1815e,01R,1,1,06:00,06:00,1,6,0,600,723,2,1,1,1,1,7,1,1,1,1,53,100,212,310,0,0,47,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:04,2,2,2,2,1,1,1,1,310,1,1,1,1,310,28,1,1,1,1,4,2,0,0,0,,,0
,505/1920,Klinë,Shkolla Fillore 'Ismet Raci',0801c,01R,1,1,06:00,06;40,1,9,6,850,0,0,1,1,1,1,7,1,1,1,1,58,103,279,363,5,0,10,1,2,2,2,2,2,2,1,2,2,1,0,1,2,19:02,2,2,1,2,1,1,1,1,363,1,1,1,1,361,2,1,1,1,1,1,2,0,0,1,,,0
,505/272,Gjilan,Shkolla 'Musa Zajmi',0402x,05R,1,1,07:00,06:00,2,7,3,700,395,3,1,1,1,1,7,1,1,1,1,120,151,300,395,0,0,31,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,395,1,1,1,1,395,13,1,1,4,0,4,2,0,0,0,,,0
,505/18,Podujevë,Shkolla e Mesme Ekonomike  'Isa Boletini' ,1824e,08R,1,1,06:00,06:00,1,7,1,800,945,2,1,1,1,1,7,1,1,1,1,58,130,273,377,0,0,3,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:12,1,1,2,2,1,1,1,1,377,2,2,1,1,377,10,1,1,1,1,4,2,0,0,1,,,0
,505/1557,Klinë,Qendra për Grumbullimin e Qumështit,0819c,01D,1,1,06:30,06:50,1,13,4,750,708,2,1,1,1,1,7,1,1,1,1,27,19,41,33,3,0,0,1,2,2,2,2,2,2,2,2,2,0,0,4,2,19:00,2,0,1,2,1,1,1,1,119,0,1,1,1,119,22,1,0,1,1,2,2,0,0,1,,,0
,505,Podujevë,Shkolla Fillore 'Pavaresia',1832e,01R,1,1,06:00,06:00,1,5,3,650,756,2,1,1,1,1,7,1,1,1,1,40,124,93,99,30,9,0,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,2,2,2,1,1,1,1,356,1,1,1,1,356,5,1,1,1,1,0,2,9,9,1,,,0
,505/150,Gjilan,Shkolla Fillore 'Abaz Ajeti',0401d,11R,1,1,06:30,06:05,1,7,4,750,890,3,1,1,1,1,7,1,1,1,1,43,132,248,359,0,0,18,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,359,1,1,1,1,359,10,1,1,1,1,0,2,0,0,0,,,0
,505/1556,Klinë,Shkolla Fillore 'Esat Mekuli' ,0815c,02D,1,1,06:10,06:35,2,5,0,650,615,3,1,1,1,1,7,1,1,1,1,56,159,212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,1,1,1,1,255,1,1,1,1,255,9,1,1,1,1,4,2,12,12,1,,,0
,505/1119,Gjilan,Shkolla 'Musa Zajmi',0402x,06R,1,1,06:05,06:00,1,0,0,650,780,0,0,1,1,1,7,1,1,1,1,53,118,297,0,0,0,0,1,2,0,2,2,2,2,2,2,2,0,0,4,2,19:00,2,0,1,2,1,1,1,1,650,0,0,0,0,650,16,1,1,1,4,4,2,0,0,0,,,0
,486,Gjilan,Shkolla Fillore 'Abaz Ajeti',0401d,01R,1,1,06:15,06:10,1,7,2,800,910,3,1,1,1,1,7,1,1,1,1,64,195,274,321,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,2,,2,0,1,2,1,1,1,1,321,1,1,1,1,321,7,1,1,0,1,0,2,0,0,0,,,0
,,Podujevë,Shkolla Fillore 'Dituria',1839e,01R,1,1,06:15,06:00,2,18,3,550,543,3,1,1,1,1,7,1,1,1,1,57,175,230,315,15,0,10,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,315,1,1,1,1,315,15,0,0,1,1,2,2,0,0,0,,,0
,,Podujevë,Shkolla Fillore 'Shefki Kuleta' ,1817e,01R,1,0,06:00,06:00,0,7,1,800,900,3,1,1,1,1,7,1,1,1,1,40,100,216,376,21,0,36,1,2,2,2,2,2,2,2,2,2,0,0,0,0,19:00,2,0,2,2,1,1,1,1,376,1,1,1,0,376,19,1,1,1,1,0,2,0,0,0,,,0
,,Hani i Elezit,Shkolla Fillore 'Veli Ballazhi',3303d,01R,1,1,06:00,05:55,2,5,0,650,773,2,1,1,1,1,7,1,1,1,1,50,94,180,249,3,0,37,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,0,1,2,1,1,1,1,249,1,0,1,1,249,19,1,1,1,1,3,2,6,6,2,,,0
,5051279,Gjilan,Shkolla Fillore 'Selami Hallaqi',0402d,02R,1,1,06:20,06:20,1,7,2,800,943,3,1,1,1,1,7,1,1,1,1,70,150,220,500,2,0,43,1,2,2,2,2,2,2,1,2,1,0,0,0,2,19:15,0,0,1,2,1,0,0,0,500,1,0,0,0,500,13,0,0,1,1,0,2,0,0,0,,,0
,50518,Podujevë,Shkolla Fillore ''Luigj Gurakuqi'' ,1816e,02R,1,1,06:05,06:00,1,6,1,650,790,2,1,1,1,1,7,1,1,1,1,62,130,242,0,4,0,20,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,345,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0
,0505,Hani i Elezit,Shkolla Fillore 'Veli Ballazhi',3303d,02D,1,1,06:00,06:55,2,5,0,600,600,2,1,1,1,1,7,1,1,1,1,24,34,62,48,6,6,8,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,0,1,2,1,1,1,1,168,2,2,1,1,168,11,0,0,1,1,3,2,6,6,2,,,0
,1007,Hani i Elezit,Shkolla Fillore 'Ilaz Thaçi',3301d,05D,1,1,06:00,05:50,2,5,2,850,822,2,1,1,1,1,7,1,1,1,1,71,208,300,416,0,18,54,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,0,396,1,1,1,1,396,29,1,1,1,1,4,2,18,18,0,,,0
